BiGG Metabolite ID,Log2FC(ÆyggS/WT 5µM PN)
glc__D_c,0.26474285
2dh3dgal_c,0.175674111
S2hglut_c,-1.010583539
glcn_c,0.733792025
3c3hmp_c,1.012220307
cbasp_c,1.243778275
spmd_c,-0.126527496
fum_c,0.576287475
ptrc_c,-0.041829905
rib__D_c,0.193430646
hom__L_c,0.344601085
4hbz_c,-0.104750055
xyl__D_c,-0.071692146
fru_c,0.048061411
g1p_c,0.254824879
lyx__L_c,-0.483202426
orot_c,0.157859624
glyclt_c,0.058182293
gua_c,0.293590987
citm_c,-0.880371594
2dh3dgal6p_c,0.626434281
ocdca_c,0.114490368
dca_c,-0.184280294
hdcea_c,0.714980171
hdca_c,0.234355951
malt_c,-0.018263241
mal__L_c,0.721772421
cit_c,0.418371497
amp_c,0.180863978
hcys__L_c,0.04077882
suchms_c,0.092791143
f6p_c,0.271125965
sucr_p,-0.435175145
glyc__R_c,-0.527316716
phpyr_c,-0.202779952
ghb_c,0.371450487
lys__L_c,0.034096141
quin_c,-2.197055739
ru5p__D_c,0.443116567
succ_c,-0.248383655
lac__D_c,0.374715134
g6p_c,0.017752905
ttdca_c,0.550967245
r5p_c,0.083028764
ile__L_c,0.874375584
ade_c,0.188068405
pnto__R_c,-0.6154016
glyc3p_c,0.132611939
5mta_c,0.435293744
C02356_c,1.122669763
tyr__L_c,0.031323098
gthrd_c,-0.409460872
ddca_c,0.495998637
pyr_c,0.925254882
uacgam_c,-0.461606161
cgly_c,-0.561700517
glyc2p_c,0.380883891
met__L_c,0.160985946
alaala_c,-0.298388673
tre_c,0.244664515
csn_c,-0.571468625
acglu_c,0.791223662
26dap__M_c,0.186458369
hxan_c,-0.023591414
5oxpro_c,-0.38811024
pro__L_c,-0.484799956
orn_c,-0.880041302
xan_c,-0.041953048
acorn_c,0.431443338
etha_c,0.157897038
thr__L_c,0.19964534
ncam_c,-0.210028236
2amsa_c,0.523377843
gly_c,0.728535284
dtmp_c,-0.219504652
ura_c,-1.653095522
ala_B_c,-0.155839355
adn_c,-0.003641201
akg_c,-0.043071929
val__L_c,2.997284333
asp__L_c,0.351155786
trp__L_c,-0.557902773
ala__L_c,2.297711519
phe__L_c,0.054782219
3pg,0.156735644
4abut_c,-1.021797929
thym_c,-0.400510669
glu__L_c,-0.272753086
leu__L_c,1.283482554
ppi_c,0.447885504
ophth_c,-0.581558196
ser__L_c,0.015900287
gln__L_c,-0.39667103
pep_c,-0.015022993
ins_c,-0.026367999
