Blattner,Log2(pdxJ/WT 20nM)
b0002,1.566908326
b0003,1.187810731
b0004,0.776945291
b0007,-0.583283779
b0008,-0.702060887
b0010,0.368484858
b0030,-1.108389235
b0032,-1.803473164
b0033,-1.190794373
b0071,0.818796469
b0072,1.127471235
b0074,1.588603342
b0077,-0.741224335
b0078,-0.719526881
b0085,0.333577325
b0086,0.179334529
b0090,0.216362827
b0091,0.07704223
b0092,0.135712314
b0112,-0.529982358
b0116,-0.531516429
b0118,-1.001149757
b0121,-1.163699212
b0125,-0.409194127
b0131,0.135482952
b0133,-0.565573381
b0159,-1.070484834
b0181,-0.18023389
b0197,0.44880913
b0198,0.707085636
b0199,0.703895126
b0237,-0.689685482
b0238,-0.776372671
b0241,0.429201105
b0242,0.420732255
b0261,-1.067040922
b0273,-2.677362722
b0331,-0.295363949
b0336,-0.028141538
b0337,-0.2147923
b0344,1.877925613
b0349,1.382069638
b0368,1.058188392
b0381,-0.701683314
b0386,-0.432152447
b0394,-0.570930104
b0401,-0.301936854
b0402,-0.489945754
b0403,0.720691311
b0459,0.947379907
b0474,-0.428256325
b0477,-0.088600587
b0485,1.702023136
b0514,0.685027387
b0576,-0.147240015
b0586,-0.384111667
b0612,0.873628814
b0614,0.995208922
b0615,-0.092687208
b0616,1.412201548
b0617,1.283910974
b0621,-2.548822661
b0628,-0.919920743
b0651,-0.877703063
b0652,-0.981255861
b0653,-0.814522474
b0654,-1.000071334
b0655,-1.044970573
b0674,-0.749965174
b0675,-0.23036768
b0678,-0.696105631
b0679,-1.210613278
b0688,-0.420929742
b0692,0.932591966
b0693,1.014365582
b0711,0.363478466
b0712,0.279428339
b0713,0.463803836
b0720,0.738829984
b0721,-1.085638772
b0722,-0.31831205
b0723,-0.931847193
b0724,-0.283369423
b0728,2.289069825
b0729,0.307207548
b0731,1.248431584
b0754,0.111832681
b0755,-1.584054993
b0758,-0.894719525
b0775,3.432021352
b0776,3.032481918
b0809,-1.46451412
b0810,-1.24852036
b0811,-1.889751301
b0813,-0.232837453
b0822,-0.387049789
b0825,0.161980984
b0828,1.794071111
b0854,-0.352416359
b0855,-0.551681038
b0856,0.196905923
b0857,0.810084067
b0870,-0.379513373
b0907,-0.249370211
b0908,-0.46659493
b0928,-0.12870086
b0929,-1.354013047
b0932,-0.661182368
b0945,-1.108983898
b1006,0.363372427
b1007,0.182114756
b1012,-1.555576896
b1014,-0.248610193
b1015,-0.220129214
b1021,-0.600510633
b1022,-0.558090078
b1033,0.064936688
b1059,0.64711385
b1062,-0.228102976
b1094,-0.422729468
b1096,0.722523895
b1098,0.450621413
b1101,-0.447396093
b1123,-0.802733092
b1124,-0.965110321
b1125,-1.197206078
b1126,-1.024470683
