GENES,yggS/WT 5 
b0002,0.8552555
b0003,0.513927687
b0004,0.495863461
b0009,0.051250228
b0025,0.474363023
b0031,1.400959223
b0032,3.022068972
b0033,2.875712834
b0048,0.773374126
b0052,1.437074342
b0071,-0.679411098
b0072,-0.54603372
b0073,-0.352251563
b0074,0.32735708
b0077,0.150752521
b0078,0.003336412
b0099,0.599709478
b0112,0.624859336
b0116,1.171843024
b0121,0.833987988
b0142,0.091656447
b0154,0.125554921
b0159,0.058019877
b0166,0.625863476
b0186,-0.133257467
b0241,-0.942703035
b0242,0.3376867
b0243,0.070432827
b0273,1.43838184
b0351,-0.197524098
b0369,0.351207332
b0386,0.419802565
b0388,0.819526206
b0414,0.122220599
b0415,0.46458992
b0420,0.394373383
b0446,0.37685026
b0507,-0.731214379
b0508,-2.32427313
b0509,-1.442155012
b0514,-0.196396881
b0521,-0.152412702
b0522,1.658693014
b0523,1.736715875
b0529,0.578970305
b0674,1.129099454
b0675,0.489893006
b0692,-0.521435502
b0693,-1.555508189
b0754,0.473925228
b0763,0.293932136
b0764,0.111998955
b0765,0.103737522
b0766,0.441078163
b0774,0.497947458
b0775,0.633139391
b0776,0.087123345
b0778,0.26241128
b0781,0.819789865
b0783,-0.114227819
b0784,-0.079665691
b0785,-0.073377892
b0826,0.160308406
b0827,0.077194687
b0828,0.10440869
b0844,-0.153518157
b0849,-0.244166009
b0870,-0.064367462
b0902,0.046336191
b0903,-0.817808192
b0907,0.432589698
b0908,0.149709759
b0914,0.27837742
b0928,0.686096779
b0929,0.215266703
b0937,-0.474089296
b0945,2.236104679
b1014,0.334290822
b1033,0.075650176
b1062,1.957735599
b1064,-0.560154163
b1096,0.522932801
b1131,1.205511763
b1189,0.112282598
b1190,0.017054755
b1207,0.999518884
b1210,0.850958427
b1232,0.501673868
b1236,0.17766374
b1241,-0.807254781
b1261,-0.158641498
b1262,0.084396103
b1263,-0.6169807
b1264,0.211171679
b1277,0.219396894
b1281,1.571816459
b1296,-0.109458401
b1302,-0.5048455
b1377,-0.285911299
b1380,-0.46742557
b1385,-0.306361559
b1386,-0.740196868
b1396,-0.329196797
b1398,-0.281567751
b1444,-0.118552927
b1473,-0.076312389
b1493,-0.222013588
b1519,-0.124904124
b1539,0.129761061
b1587,-0.661538076
b1588,-0.930487285
b1589,-0.76196354
b1590,-0.396873621
b1606,0.381826617
b1622,0.241706648
b1636,0.418805321
b1638,0.466409232
b1654,0.510369159
b1662,0.260545981
b1679,-0.494077117
b1680,-0.526548919
b1692,0.300133967
b1693,0.36018482
b1704,0.708877111
b1710,0.029457358
b1744,-0.832323437
b1745,-1.072858107
b1746,-0.521312332
b1747,-1.03446051
b1748,0.286145943
b1761,0.647233361
b1764,-0.085061042
b1767,0.470013527
b1779,-0.045915637
b1800,-0.647403557
b1812,0.188591816
b1813,0.116207411
b1814,0.131440393
b1865,0.292274054
b1919,-0.080859022
b1981,-0.293912938
b2014,1.505778914
b2019,-0.092901938
b2020,-0.291117948
b2021,-0.464514338
b2022,-0.095785257
b2023,-0.068044132
b2024,-0.002232978
b2025,-0.077406957
b2026,-0.282438025
b2028,0.242107909
b2038,-0.075779159
b2040,0.372990075
b2153,1.839063694
b2215,0.191848011
b2253,0.436290567
b2254,-1.045641919
b2255,-0.395188039
b2256,0.432118193
b2257,-0.60209015
b2258,-0.137422892
b2290,0.30111454
b2297,-0.459932055
b2315,0.01567115
b2320,0.572295935
b2329,0.283425522
b2366,-0.230056637
b2379,0.467745126
b2414,0.353449524
b2418,0.088725464
b2421,1.222026888
b2422,1.117603955
b2423,1.629103603
b2424,0.386149135
b2425,0.121169512
b2472,-0.197207221
b2476,1.587736627
b2478,0.373500532
b2499,1.776393379
b2500,1.242243405
b2521,-0.42132065
b2530,0.300003237
b2551,1.407870004
b2564,0.244374866
b2579,-0.36375937
b2599,-0.403304519
b2600,0.941286199
b2601,1.091239294
b2662,-0.302260718
b2687,-0.050123039
b2688,0.184464854
b2763,1.922658684
b2764,0.038941855
b2797,-0.047015009
b2810,0.363935312
b2818,1.838381551
b2827,0.119518325
b2838,0.921224354
b2871,-0.663057881
b2903,4.377794891
b2904,4.525149071
b2905,4.287863648
b2912,-0.085594586
b2913,0.888986332
b2927,0.354149691
b2937,0.811446077
