rxn_id,flux
rxn01256_c0,0.102843
rxn00832_c0,-0.0860103
rxn00737_m0,0
rxn02175_m0,0
rxn13307_c0,0
R-GLCtv_c0,0
rxn01740_c0,0.122199
rxn01671_c0,0
rxn00236_c0,0
rxn00002_c0,0
rxn09541_c0,0
rxn01138_m0,0
rxn09771_c0,16.8497
rxn09730_c0,0
rxn00860_c0,0
rxn09036_c0,0
R-ASPt2r_c0,0
rxn09540_c0,0
rxn09564_c0,0
rxn09545_c0,0.00261575
rxn30381_c0,16.8604
rxn06437_c0,0
rxn20661_c0,0
rxn18921_x0,0
rxn00170_m0,0
R-FACOAL240p_x0,0
rxn02155_m0,0
rxn01521_c0,0
rxn05645_c0,0
rxn09510_c0,0.352211
rxn05561_c0,0
rxn03423_c0,0
R-CITtap_c0,0
rxn30330_m0,0
rxn02061_c0,0
rxn03446_c0,0
rxn09657_c0,0
rxn20474_x0,0
rxn00438_c0,0
rxn00239_c0,-999999
rxn00364_c0,-0.0118581
rxn05736_x0,0
rxn10505_c0,0.000431599
rxn00175_c0,0.24017
rxn09670_c0,0
rxn05466_c0,2.53748
R-CERH124-copy2_c0,0
rxn13096_c0,0
rxn05611_c0,0
rxn00939_c0,0
rxn00236_g0,0
rxn01343_c0,3.76251
rxn09177_c0,0
rxn09331_c0,0
rxn13209_c0,0
rxn13367_c0,0
R-PYRt2p_c0,0
rxn01145_c0,0
rxn13326_c0,0
rxn09417_m0,-999979
rxn03956_c0,0
R-PSERDv-SC_v0,0
rxn09851_x0,0
rxn00248_m0,5.94321
rxn28356_m0,0
rxn30043_c0,0.0700586
rxn09820_c0,0
rxn02826_c0,0
rxn00908_m0,0
rxn09760_c0,0
rxn08633_c0,2.7066
rxn03091_c0,0
rxn13406_c0,0
rxn13222_c0,0
rxn02093_c0,0
rxn05580_c0,0
R-ETHAPT-SC_c0,0
rxn08376_c0,0
rxn05289_m0,0
rxn30037_c0,0
rxn09583_c0,0
rxn00953_c0,0.00287733
rxn30358_r0,0
rxn30392_c0,999999
rxn05303_c0,0
rxn09273_c0,16.8979
rxn01268_c0,0
rxn12916_c0,0.00095911
rxn13368_c0,0
rxn09755_c0,0
rxn05289_c0,0.040675
rxn01137_c0,0
rxn09445_x0,0
rxn02304_m0,0
rxn02134_c0,0
R-AGAT-SC_c0,0.0107682
rxn30407_m0,0
R-NMNt2m_c0,0
rxn05239_c0,0.0354435
rxn13316_c0,0
R-PIN3K-SC_c0,0
rxn28352_m0,0
rxn13411_c0,0
rxn09648_c0,-0.00126428
rxn30392_n0,-999998
rxn01332_m0,0.122199
rxn09511_r0,0.352211
rxn02302_c0,0
rxn01353_c0,0
rxn08455_c0,0
R-ASNt2r_c0,0
rxn00704_c0,-0.730972
R-PIN4Kn-SC_n0,0
rxn00159_m0,0
rxn09462_x0,0
rxn00175_m0,0
rxn09552_c0,0
rxn19988_x0,0
rxn13371_c0,0
rxn13345_c0,0
rxn18921_m0,0
rxn09308_c0,0
rxn02155_c0,0
R-MIP2CS224-SC_c0,0
rxn09433_c0,0
rxn00605_c0,0.0102014
rxn00137_c0,0.0354435
R-ASPGLUtp_c0,0
rxn08170_c0,999998
rxn08213_c0,0
rxn13193_c0,0
rxn01003_c0,0
rxn01517_c0,-0.00261575
R-ERGSTter_c0,0.000305171
rxn13357_c0,0
rxn00555_c0,0
rxn08554_c0,0
rxn13379_c0,0
rxn09844_x0,0
rxn30091_c0,0.0718024
rxn15018_c0,0
rxn00506_m0,0
rxn03084_c0,0.0571063
rxn00693_c0,0.0372309
rxn08067_c0,999999
rxn09841_c0,0
R-PIt2p_c0,0
rxn03004_c0,0.0571063
rxn00062_c0,-1
rxn06446_c0,0
rxn00198_x0,0
rxn00096_c0,0
rxn00105_c0,0
rxn01520_c0,0.00156945
rxn13318_c0,0
